Product,Category,Unit_Price,Quantity,Discount,Total_Price
Hohes C Orange,Juices,1.87,74,0.1,124.54
Fritz-Kola,Soft Drinks,1.87,18,0.05,31.98
Merlot,Alcoholic Beverages,12.04,71,0.15,726.61
Moët & Chandon,Alcoholic Beverages,64.91,91,0.1,5316.13
Granini Apple,Juices,1.64,4,0.0,6.56
Riesling,Alcoholic Beverages,8.62,47,0.05,384.88
Pepsi,Soft Drinks,1.74,5,0.0,8.7
Hohes C Orange,Juices,1.8,15,0.0,27.0
Havana Club,Alcoholic Beverages,30.22,57,0.1,1550.29
Vio Wasser,Water,0.98,6,0.05,5.59
Granini Apple,Juices,1.28,31,0.05,37.7
Schwip Schwap,Soft Drinks,1.3,76,0.1,88.92
Evian,Water,1.26,3,0.0,3.78
Cranberry Juice,Juices,3.46,14,0.0,48.44
Tomato Juice,Juices,3.33,12,0.0,39.96
Granini Apple,Juices,1.59,3,0.0,4.77
Schwip Schwap,Soft Drinks,1.27,7,0.0,8.89
Passion Fruit Juice,Juices,2.98,41,0.05,116.07
Mango Juice,Juices,3.31,8,0.0,26.48
Passion Fruit Juice,Juices,2.93,7,0.0,20.51
Havana Club,Alcoholic Beverages,11.83,28,0.05,314.68
Rauch Multivitamin,Juices,1.76,17,0.1,26.93
Apollinaris,Water,0.93,8,0.0,7.44
Johnnie Walker,Alcoholic Beverages,37.69,3,0.0,113.07
Havana Club,Alcoholic Beverages,12.96,5,0.0,64.8
Apollinaris,Water,0.57,5,0.1,2.56
Erdinger Weißbier,Alcoholic Beverages,2.11,3,0.0,6.33
Volvic,Water,0.55,3,0.0,1.65
Red Bull,Soft Drinks,2.35,1,0.0,2.35
Tomato Juice,Juices,3.23,12,0.0,38.76
Beck's,Alcoholic Beverages,1.43,30,0.1,38.61
Riesling,Alcoholic Beverages,10.51,89,0.1,841.85
Club Mate,Soft Drinks,2.19,14,0.0,30.66
Selters,Water,0.52,31,0.1,14.51
Mezzo Mix,Soft Drinks,0.59,8,0.0,4.72
Rauch Multivitamin,Juices,2.91,55,0.05,152.05
Fanta,Soft Drinks,1.19,9,0.0,10.71
Apollinaris,Water,0.99,6,0.0,5.94
Sprite,Soft Drinks,0.95,47,0.1,40.18
Tomato Juice,Juices,3.23,3,0.0,9.69
Augustiner,Alcoholic Beverages,1.16,4,0.0,4.64
Volvic Touch,Water,1.42,14,0.0,19.88
Granini Apple,Juices,1.59,3,0.0,4.77
Schwip Schwap,Soft Drinks,1.02,71,0.1,65.18
Monster,Soft Drinks,3.12,3,0.0,9.36
Pepsi,Soft Drinks,1.53,15,0.0,22.95
Selters,Water,1.16,84,0.15,82.82
Cranberry Juice,Juices,3.46,12,0.0,41.52
Club Mate,Soft Drinks,2.2,60,0.1,118.8
Mango Juice,Juices,3.31,4,0.0,13.24
Selters,Water,0.46,15,0.0,6.9
Beck's,Alcoholic Beverages,1.64,64,0.05,99.71
Sprite,Soft Drinks,0.55,7,0.0,3.85
Augustiner,Alcoholic Beverages,1.09,6,0.0,6.54
Rockstar,Soft Drinks,2.27,5,0.0,11.35
Schwip Schwap,Soft Drinks,0.89,34,0.05,28.75
Selters,Water,0.46,1,0.0,0.46
Coca-Cola,Soft Drinks,1.04,10,0.0,10.4
Bacardi,Alcoholic Beverages,13.84,8,0.0,110.72
Volvic Touch,Water,1.31,21,0.05,26.13
Red Bull,Soft Drinks,2.28,4,0.0,9.12
Granini Apple,Juices,1.64,6,0.0,9.84
Selters,Water,0.46,1,0.0,0.46
Coca-Cola,Soft Drinks,0.99,51,0.05,47.97
Volvic,Water,0.58,10,0.0,5.8
Mango Juice,Juices,3.12,8,0.0,24.96
Fanta,Soft Drinks,0.8,35,0.1,25.2
Riesling,Alcoholic Beverages,4.19,1,0.0,4.19
Chardonnay,Alcoholic Beverages,4.88,8,0.0,39.04
Johnnie Walker,Alcoholic Beverages,33.58,9,0.1,272.0
Mango Juice,Juices,3.31,8,0.0,26.48
Johnnie Walker,Alcoholic Beverages,36.59,9,0.0,329.31
Augustiner,Alcoholic Beverages,1.12,14,0.0,15.68
Volvic,Water,0.58,13,0.0,7.54
San Pellegrino,Water,0.66,11,0.05,6.9
Erdinger Weißbier,Alcoholic Beverages,1.92,11,0.0,21.12
Gerolsteiner,Water,1.01,12,0.0,12.12
Kölsch,Alcoholic Beverages,0.93,10,0.0,9.3
Evian,Water,1.31,6,0.0,7.86
Tomato Juice,Juices,3.43,13,0.0,44.59
Apollinaris,Water,1.13,100,0.1,101.7
Veuve Clicquot,Alcoholic Beverages,106.01,8,0.0,848.08
Mango Juice,Juices,3.31,2,0.0,6.62
Vio Wasser,Water,1.71,13,0.0,22.23
Cranberry Juice,Juices,3.46,9,0.0,31.14
Evian,Water,1.23,1,0.0,1.23
Selters,Water,0.46,5,0.0,2.3
Fritz-Kola,Soft Drinks,2.33,48,0.05,106.25
Passion Fruit Juice,Juices,2.38,60,0.05,135.66
Beck's,Alcoholic Beverages,1.41,8,0.0,11.28
Schwip Schwap,Soft Drinks,0.56,16,0.05,8.51
Hohes C Orange,Juices,1.8,11,0.0,19.8
Hohes C Orange,Juices,1.79,28,0.05,47.61
Kölsch,Alcoholic Beverages,2.09,81,0.1,152.36
Granini Apple,Juices,1.59,8,0.0,12.72
Sprite,Soft Drinks,0.56,3,0.0,1.68
Tomato Juice,Juices,2.93,96,0.15,239.09
Augustiner,Alcoholic Beverages,1.61,38,0.1,55.06
Vittel,Water,0.58,8,0.0,4.64
Volvic,Water,0.86,70,0.1,54.18
Volvic,Water,0.57,7,0.0,3.99
Evian,Water,1.31,11,0.0,14.41
Rauch Multivitamin,Juices,2.07,34,0.1,63.34
Schwip Schwap,Soft Drinks,1.2,13,0.0,15.6
Evian,Water,1.26,15,0.0,18.9
Sprite,Soft Drinks,1.27,42,0.1,48.01
Schwip Schwap,Soft Drinks,0.83,9,0.05,7.1
Pepsi,Soft Drinks,1.53,6,0.0,9.18
Mezzo Mix,Soft Drinks,0.59,10,0.0,5.9
Fritz-Kola,Soft Drinks,2.05,13,0.0,26.65
Granini Apple,Juices,1.59,8,0.0,12.72
Club Mate,Soft Drinks,2.19,3,0.0,6.57
Evian,Water,1.23,7,0.0,8.61
Rauch Multivitamin,Juices,2.38,13,0.0,30.94
Sprite,Soft Drinks,1.2,97,0.1,104.76
Fritz-Kola,Soft Drinks,1.99,6,0.0,11.94
Chardonnay,Alcoholic Beverages,5.03,15,0.0,75.45
Volvic Touch,Water,1.38,12,0.0,16.56
Evian,Water,1.39,82,0.1,102.58
Vittel,Water,0.62,1,0.0,0.62
Volvic,Water,0.98,88,0.1,77.62
Mountain Dew,Soft Drinks,0.88,48,0.15,35.9
Hohes C Orange,Juices,2.61,97,0.1,227.85
Riesling,Alcoholic Beverages,3.64,72,0.05,248.98
Vio Wasser,Water,1.35,94,0.15,107.86
Warsteiner,Alcoholic Beverages,1.05,11,0.0,11.55
Red Bull,Soft Drinks,2.35,6,0.0,14.1
Sprite,Soft Drinks,1.1,66,0.1,65.34
Mango Juice,Juices,3.21,9,0.0,28.89
Sprite,Soft Drinks,0.53,8,0.0,4.24
Apollinaris,Water,1.19,49,0.05,55.39
Schwip Schwap,Soft Drinks,1.24,7,0.0,8.68
Mountain Dew,Soft Drinks,1.58,47,0.05,70.55
Chardonnay,Alcoholic Beverages,11.82,92,0.1,978.7
Pepsi,Soft Drinks,1.53,3,0.0,4.59
Cranberry Juice,Juices,3.67,14,0.0,51.38
Hohes C Orange,Juices,1.8,11,0.0,19.8
Granini Apple,Juices,1.59,12,0.0,19.08
Club Mate,Soft Drinks,2.35,54,0.05,120.56
Warsteiner,Alcoholic Beverages,1.05,13,0.0,13.65
Havana Club,Alcoholic Beverages,42.3,90,0.1,3426.3
Johnnie Walker,Alcoholic Beverages,36.59,12,0.0,439.08
Krombacher,Alcoholic Beverages,1.59,5,0.0,7.95
Granini Apple,Juices,1.87,96,0.15,152.59
Mango Juice,Juices,2.36,43,0.05,96.41
Cranberry Juice,Juices,3.56,12,0.0,42.72
